name,country,status,match_title,score,image
1488 (Tullibardine),Reino Unido,found,existing,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/B._Leyendecker_-_Elector_Johann_Cicero_before_Stendal_during_the_local_uprising_against_beer_tax%2C_1488.jpg/500px-B._Leyendecker_-_Elector_Johann_Cicero_before_Stendal_during_the_local_uprising_against_beer_tax%2C_1488.jpg
1698 (Shepherd Neame),Reino Unido,found,existing,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Colinton_%28AU%29%2C_Bir-Zebbug_--_2019_--_1698.jpg/500px-Colinton_%28AU%29%2C_Bir-Zebbug_--_2019_--_1698.jpg
Abbaye des Rocs,Bélgica,found,File:Brasserie de l'Abbaye des Rocs.jpg,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Brasserie_de_l%27Abbaye_des_Rocs.jpg/500px-Brasserie_de_l%27Abbaye_des_Rocs.jpg
Abbaye du Mont St. Aubert,Bélgica,fallback,,,
Abbaye St. Landelin,Francia,fallback,,,
Abbot Ale,Reino Unido,found,File:Abbot Ale.JPG,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Abbot_Ale.JPG/500px-Abbot_Ale.JPG
Achel Dubble,Bélgica,fallback,File:Achel beer.jpg,129.0,
Achel Triple,Bélgica,fallback,File:Achel beer.jpg,129.0,
Adelscott,Francia,found,File:Adelscott beer FR.JPG,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Adelscott_beer_FR.JPG/500px-Adelscott_beer_FR.JPG
Agua Bendita,Canadá,fallback,,,
Ale Hardy,Canadá,found,File:Thomas Hardy's Ale 001.jpg,129.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Thomas_Hardy%27s_Ale_001.jpg/500px-Thomas_Hardy%27s_Ale_001.jpg
Alhambra (Reserva 1925),España,found,File:Cerveza-alhambra-reserva-1925.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Cerveza-alhambra-reserva-1925.jpg/500px-Cerveza-alhambra-reserva-1925.jpg
Alhambra Especial,España,fallback,File:Cerveza Alhambra.jpg,129.0,
Altenmunster,Alemania,found,File:Altenmünster Brauer Bier Hopfig Herb.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Altenm%C3%BCnster_Brauer_Bier_Hopfig_Herb.jpg/500px-Altenm%C3%BCnster_Brauer_Bier_Hopfig_Herb.jpg
Altura de Vuelo,España,fallback,,,
Anchor Liberty Ale,Estados Unidos,fallback,,,
Anchor Porter,Estados Unidos,fallback,"File:Beer, the Anchor Inn - geograph.org.uk - 2261390.jpg",129.0,
